category;title;link
Página Principal;https://educacao.uol.com.br/noticias/2021/09/26/termina-hoje-prazo-para-inscricao-de-isentos-que-faltaram-no-enem-2020.htm;Termina hoje prazo para inscrição de isentos que faltaram no Enem 2020
Página Principal;https://educacao.uol.com.br/noticias/2021/09/26/cosme-e-damiao-por-que-sao-dados-doces-no-dia-dos-padroeiros-dos-medicos.htm;Cosme e Damião: por que são dados doces no dia dos padroeiros dos médicos?
Página Principal;https://vestibular.brasilescola.uol.com.br/enem/inep-encerra-inscricoes-do-enem-2021-para-isentos-ausentes-de-2020-neste-domingo-26/350847.html;Inep encerra inscrições do Enem 2021 de isentos ausentes de 2020 hoje (26)
Página Principal;https://vestibular.brasilescola.uol.com.br/noticias/uepg-realiza-vestibular-de-primavera-2021-neste-domingo-26/350848.html;Vestibular de Primavera 2021 da UEPG será neste domingo (26)
Página Principal;https://carsughi.uol.com.br/2021/09/volvo-e-jac-avancam-na-oferta-de-100-eletricos-no-brasil/;Volvo e JAC avançam na oferta de 100% elétricos no Brasil
Página Principal;https://carsughi.uol.com.br/2021/09/ford-revela-o-novo-expedition-timberline-off-road-com-440-cv-de-potencia/;Ford revela o novo Expedition Timberline off-road com 440 cv de potência
Página Principal;https://motor1.uol.com.br/news/535675/volkswagen-fraude-emissoes-europa-acusacao/;Volkswagen fraudando emissões novamente, acusa conselheiro da UE
Página Principal;https://autopapo.uol.com.br/noticia/video-governo-da-liberdade-aos-postos-mas-isso-e-bom/;[Vídeo] Governo dá liberdade aos postos: mas isso é bom?
Página Principal;https://economia.uol.com.br/noticias/redacao/2021/09/22/china-por-que-economia-chinesa-afeta-brasil.htm;Emprego, dólar, PIB: como Evergrande e desaceleração da China afetam Brasil
Página Principal;https://noticias.uol.com.br/ultimas-noticias/afp/2021/08/29/potente-furacao-ida-avanca-pela-louisiana.htm;Furacão Ida deixa quase 400 mil sem energia elétrica na Louisiana, EUA
Página Principal;https://noticias.uol.com.br/ultimas-noticias/reuters/2021/08/29/biden-viaja-ate-base-aerea-para-homenagear-militares-mortos-no-afeganistao.htm;Biden viaja até base aérea para homenagear militares mortos no Afeganistão
Página Principal;https://observatoriodocinema.uol.com.br/series-e-tv/2021/09/a-missa-da-meia-noite-tem-ligacao-secreta-com-serie-da-netflix?utm_source=bol&utm_medium=feed&utm_campaign=Feed%20BOL;A Missa da Meia-Noite tem ligação secreta com série da Netflix
Página Principal;https://observatoriodocinema.uol.com.br/filmes/2021/09/aquaman-2-tera-vilao-de-outro-heroi-da-dc?utm_source=bol&utm_medium=feed&utm_campaign=Feed%20BOL;Aquaman 2 terá vilão de outro herói da DC
Página Principal;https://observatoriodocinema.uol.com.br/filmes/2021/09/com-astro-da-marvel-pessimo-terror-faz-sucesso-na-netflix?utm_source=bol&utm_medium=feed&utm_campaign=Feed%20BOL;Com astro da Marvel, péssimo terror faz sucesso na Netflix
Página Principal;https://observatoriodemusica.uol.com.br/noticia/stayc-maquiadora-explica-por-que-sieun-tem-o-rosto-perfeito?utm_source=bol&utm_medium=feed&utm_campaign=Feed%20BOL;STAYC: Maquiadora explica por que Sieun tem “o rosto perfeito”
Página Principal;https://observatoriodemusica.uol.com.br/noticia/a-fazenda-13-nego-do-borel-esta-triste-e-sem-entender-motivo-da-expulsao?utm_source=bol&utm_medium=feed&utm_campaign=Feed%20BOL;A Fazenda 13: Nego do Borel está “triste” e “sem entender” motivo da expulsão
