category;title;link
Página Principal;https://g1.globo.com/politica/noticia/2021/09/26/pedro-guimaraes-anuncia-que-teste-para-covid-19-deu-positivo.ghtml;"Presidente da Caixa está com Covid; é o 4º da comitiva de Bolsonaro em NY"
Página Principal;https://g1.globo.com/politica/noticia/2021/09/26/bolsonaro-faz-novo-teste-para-covid-19-e-resultado-e-negativo-diz-planalto.ghtml;Bolsonaro e Michelle anunciam resultado negativo em novo teste de Covid
Página Principal;https://g1.globo.com/mundo/noticia/2021/09/26/boca-de-urna-eleicao-alemanha.ghtml;Social-democratas e partido de Merkel empatam em boca de urna
Página Principal;https://g1.globo.com/mundo/noticia/2021/09/22/eleicoes-na-alemanha-entenda-como-os-alemaes-escolhem-o-novo-chanceler.ghtml;"Escolha do novo chanceler ainda pode levar semanas; entenda"
Página Principal;https://g1.globo.com/mundo/noticia/2021/09/26/imigrantes-ilegais-brasileiros-sao-achados-em-carroceria-de-caminhao-na-fronteira-dos-eua.ghtml;Brasileiros são achados em caminhão na fronteira dos EUA
Página Principal;https://g1.globo.com/mundo/noticia/2021/09/26/gabby-petito-funeral-da-influenciadora-acontece-neste-domingo-em-nova-york.ghtml;Fãs e amigos de Gabby Petito homenageiam influenciadora em funeral
Página Principal;https://g1.globo.com/playlist/videos-para-assistir-agora.ghtml;Cadeirada em assaltante, lava destruidora e mais vídeos
Página Principal;https://g1.globo.com/inovacao/noticia/2021/09/26/corrida-pelo-carro-voador-o-que-e-o-veiculo-que-embraer-gol-e-azul-querem-nos-ceus-do-brasil.ghtml;O que são os 'carros voadores' disputados por Embraer, Gol e Azul
Página Principal;https://g1.globo.com/olha-que-legal/noticia/2021/09/26/maquina-transforma-cerveja-e-outras-bebidas-alcoolicas-em-sorvete.ghtml;Máquina transforma cerveja e outras bebidas alcoólicas em sorvete
Página Principal;https://g1.globo.com/pop-arte/noticia/2021/09/26/pabllo-vittar-vai-passar-mal-mas-esta-tudo-bem-entenda-o-meme.ghtml;Pabllo Vittar vai passar mal, mas está tudo bem! Entenda o meme
